Genome,Genome ID,Accession,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Pseudomonas aeruginosa P-17-16577-1-1","287.27169","JAOXOT010000027","fig|287.27169.peg.3534","OFL70_33305",,"PATRIC.287.27169.JAOXOT010000027.CDS.33896.34438.fwd","PATRIC","CDS",33896,34438,543,"+",,"PLF_286_00061514","PGF_06847184",,180,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa P-16-23058-1-1","287.27176","JAOXOX010000019","fig|287.27176.peg.1423","OFL32_21270",,"PATRIC.287.27176.JAOXOX010000019.CDS.29875.30417.rev","PATRIC","CDS",29875,30417,543,"-",,"PLF_286_00061514","PGF_06847184",,180,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa P-16-15465-1-1","287.27182","JAOXOY010000026","fig|287.27182.peg.3598","OFD60_32310",,"PATRIC.287.27182.JAOXOY010000026.CDS.50159.50701.rev","PATRIC","CDS",50159,50701,543,"-",,"PLF_286_00061514","PGF_06847184",,180,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa H-20-01197-1-1","287.27195","JAOXPQ010000110","fig|287.27195.peg.224","OFL37_34705",,"PATRIC.287.27195.JAOXPQ010000110.CDS.446.988.fwd","PATRIC","CDS",446,988,543,"+",,"PLF_286_00061514","PGF_06847184",,180,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa H-17-16586-1-1","287.27210","JAOXQF010000031","fig|287.27210.peg.4573","OFL76_33060",,"PATRIC.287.27210.JAOXQF010000031.CDS.29873.30415.rev","PATRIC","CDS",29873,30415,543,"-",,"PLF_286_00061514","PGF_06847184",,180,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa H-16-00109-1-1","287.27229","JAOXQZ010000025","fig|287.27229.peg.2684","OFL64_29740",,"PATRIC.287.27229.JAOXQZ010000025.CDS.37418.37960.fwd","PATRIC","CDS",37418,37960,543,"+",,"PLF_286_00061514","PGF_06847184",,180,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa PaLo537","287.28389","JAHERK010000003","fig|287.28389.peg.6464","KKQ55_31610",,"PATRIC.287.28389.JAHERK010000003.CDS.405151.405693.rev","PATRIC","CDS",405151,405693,543,"-",,"PLF_286_00061514","PGF_06847184",,180,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa PaLo287","287.28399","JAHEQX010000002","fig|287.28399.peg.5248","KKQ60_25890",,"PATRIC.287.28399.JAHEQX010000002.CDS.1635548.1636090.fwd","PATRIC","CDS",1635548,1636090,543,"+",,"PLF_286_00061514","PGF_06847184",,180,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa PaLo288","287.28401","JAHEQY010000001","fig|287.28401.peg.965","KKQ53_04745",,"PATRIC.287.28401.JAHEQY010000001.CDS.1001938.1002480.rev","PATRIC","CDS",1001938,1002480,543,"-",,"PLF_286_00061514","PGF_06847184",,180,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa 6-17","287.28565","JAJTWM010000028","fig|287.28565.peg.3146","LYY30_26485",,"PATRIC.287.28565.JAJTWM010000028.CDS.35435.35977.fwd","PATRIC","CDS",35435,35977,543,"+",,"PLF_286_00061514","PGF_06847184",,180,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa FBPa_L1361","287.30291","JALJNR010000010","fig|287.30291.peg.856","MU694_21665",,"PATRIC.287.30291.JALJNR010000010.CDS.185571.186056.fwd","PATRIC","CDS",185571,186056,486,"+",,,,,161,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa PaG33","287.32472","JAVRMM010000027","fig|287.32472.peg.3213","RNI15_29880",,"PATRIC.287.32472.JAVRMM010000027.CDS.50159.50701.rev","PATRIC","CDS",50159,50701,543,"-",,"PLF_286_00061514","PGF_06847184",,180,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa N4_083_014G1_dasN4_083_014G1_maxbin2.maxbin.004","287.32589","JAWGYP010000025","fig|287.32589.peg.5684","E6398_27825",,"PATRIC.287.32589.JAWGYP010000025.CDS.34067.34609.fwd","PATRIC","CDS",34067,34609,543,"+",,"PLF_286_00061514","PGF_06847184",,180,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa SSI_PA13","287.32989","JAWLOY010000013","fig|287.32989.peg.2865","R4J99_14020",,"PATRIC.287.32989.JAWLOY010000013.CDS.18365.18892.fwd","PATRIC","CDS",18365,18892,528,"+",,"PLF_286_00291653","PGF_08225224",,175,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa NGH Pa49","287.33338","JAXCPH010000012","fig|287.33338.peg.1464","SOK62_28775",,"PATRIC.287.33338.JAXCPH010000012.CDS.33962.34504.fwd","PATRIC","CDS",33962,34504,543,"+",,"PLF_286_00061514","PGF_06847184",,180,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa NGH Pa24","287.33354","JAXCOQ010000001","fig|287.33354.peg.609","SOJ74_02995",,"PATRIC.287.33354.JAXCOQ010000001.CDS.649920.650486.fwd","PATRIC","CDS",649920,650486,567,"+",,"PLF_286_00056245","PGF_06847184",,188,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa KT962","287.33696","JAREJS010000018","fig|287.33696.peg.6106","PZU20_29985",,"PATRIC.287.33696.JAREJS010000018.CDS.34939.35481.fwd","PATRIC","CDS",34939,35481,543,"+",,"PLF_286_00061514","PGF_06847184",,180,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa KT1077","287.33709","JAREKC010000031","fig|287.33709.peg.6029","PZU26_29515",,"PATRIC.287.33709.JAREKC010000031.CDS.50209.50751.rev","PATRIC","CDS",50209,50751,543,"-",,"PLF_286_00061514","PGF_06847184",,180,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa KT1022","287.33710","JAREKD010000025","fig|287.33710.peg.5688","PZT44_27810",,"PATRIC.287.33710.JAREKD010000025.CDS.50209.50751.rev","PATRIC","CDS",50209,50751,543,"-",,"PLF_286_00061514","PGF_06847184",,180,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa KE10339","287.33711","JAREKF010000037","fig|287.33711.peg.6682","PZU32_32695",,"PATRIC.287.33711.JAREKF010000037.CDS.33946.34488.fwd","PATRIC","CDS",33946,34488,543,"+",,"PLF_286_00061514","PGF_06847184",,180,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa KT1075","287.33712","JAREKE010000025","fig|287.33712.peg.6504","PZT57_31595",,"PATRIC.287.33712.JAREKE010000025.CDS.50236.50778.rev","PATRIC","CDS",50236,50778,543,"-",,"PLF_286_00061514","PGF_06847184",,180,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa 2546","287.34032","JAXMPZ010000017","fig|287.34032.peg.3036","T6L40_14850",,"PATRIC.287.34032.JAXMPZ010000017.CDS.53735.54262.fwd","PATRIC","CDS",53735,54262,528,"+",,"PLF_286_00291653","PGF_08225224",,175,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa F078","287.34050","CP115192","fig|287.34050.peg.3898","PCP55_19245",,"PATRIC.287.34050.CP115192.CDS.3996681.3997223.rev","PATRIC","CDS",3996681,3997223,543,"-",,"PLF_286_00061514","PGF_06847184",,180,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa F062","287.34062","CP115215","fig|287.34062.peg.2366","PCP19_11725",,"PATRIC.287.34062.CP115215.CDS.2497274.2497816.rev","PATRIC","CDS",2497274,2497816,543,"-",,"PLF_286_00061514","PGF_06847184",,180,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa F016","287.34113","CP115273","fig|287.34113.peg.2769","PCP24_13580",,"PATRIC.287.34113.CP115273.CDS.2924190.2924732.fwd","PATRIC","CDS",2924190,2924732,543,"+",,"PLF_286_00061514","PGF_06847184",,180,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa F004","287.34120","CP115289","fig|287.34120.peg.2415","PCP67_11905",,"PATRIC.287.34120.CP115289.CDS.2524195.2524692.rev","PATRIC","CDS",2524195,2524692,498,"-",,"PLF_286_00196461","PGF_06458078",,165,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa F001","287.34134","CP115482","fig|287.34134.peg.1696","PCP62_08385",,"PATRIC.287.34134.CP115482.CDS.1811464.1812006.rev","PATRIC","CDS",1811464,1812006,543,"-",,"PLF_286_00061514","PGF_06847184",,180,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa SCL9658","287.34933","JAZBVS010000035","fig|287.34933.peg.5538","VUT09_27050",,"PATRIC.287.34933.JAZBVS010000035.CDS.24614.25156.fwd","PATRIC","CDS",24614,25156,543,"+",,"PLF_286_00061514","PGF_06847184",,180,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa SCL4011","287.34959","JAZBSO010000021","fig|287.34959.peg.5950","VUS18_29095",,"PATRIC.287.34959.JAZBSO010000021.CDS.33946.34488.fwd","PATRIC","CDS",33946,34488,543,"+",,"PLF_286_00061514","PGF_06847184",,180,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa SCL8217","287.35055","JAZBUM010000029","fig|287.35055.peg.5174","VUS73_25280",,"PATRIC.287.35055.JAZBUM010000029.CDS.33874.34416.fwd","PATRIC","CDS",33874,34416,543,"+",,"PLF_286_00061514","PGF_06847184",,180,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa SCL7982","287.35096","JAZBUL010000030","fig|287.35096.peg.5152","VUS72_25135",,"PATRIC.287.35096.JAZBUL010000030.CDS.33874.34416.fwd","PATRIC","CDS",33874,34416,543,"+",,"PLF_286_00061514","PGF_06847184",,180,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa SCL4024","287.35101","JAZBSP010000021","fig|287.35101.peg.6381","VUS19_31190",,"PATRIC.287.35101.JAZBSP010000021.CDS.33946.34488.fwd","PATRIC","CDS",33946,34488,543,"+",,"PLF_286_00061514","PGF_06847184",,180,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa strain PABL015","287.6466","QVDX01000029","fig|287.6466.peg.3021","DZ897_14590",,"PATRIC.287.6466.QVDX01000029.CDS.18445.18930.fwd","PATRIC","CDS",18445,18930,486,"+",,,,,161,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa strain Y3X","287.7085","RHMD01000005","fig|287.7085.peg.7828","ECC04_23915",,"PATRIC.287.7085.RHMD01000005.CDS.2732807.2733377.rev","PATRIC","CDS",2732807,2733377,571,"-",,,,,,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa strain B13455","287.7765","RWXA01000124","fig|287.7765.peg.3723","EJ639_31780",,"PATRIC.287.7765.RWXA01000124.CDS.24696.25238.fwd","PATRIC","CDS",24696,25238,543,"+",,"PLF_286_00061514","PGF_06847184",,180,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa strain MRSN11285","287.7858","RXWQ01000014","fig|287.7858.peg.3440","DZA21_17060",,"PATRIC.287.7858.RXWQ01000014.CDS.360687.361300.rev","PATRIC","CDS",360687,361300,614,"-",,,,,,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa strain HCF73","287.7874","RXAC01000001","fig|287.7874.peg.44","IPC1422_00215",,"PATRIC.287.7874.RXAC01000001.CDS.30078.30620.rev","PATRIC","CDS",30078,30620,543,"-",,"PLF_286_00061514","PGF_06847184",,180,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa strain HJ2","287.7891","RXBC01000008","fig|287.7891.peg.6378","IPC1374_23355",,"PATRIC.287.7891.RXBC01000008.CDS.383864.384406.fwd","PATRIC","CDS",383864,384406,543,"+",,"PLF_286_00061514","PGF_06847184",,180,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa strain AMT0047-2","287.7947","RXDF01000019","fig|287.7947.peg.2156","IPC566_31980",,"PATRIC.287.7947.RXDF01000019.CDS.33875.34417.rev","PATRIC","CDS",33875,34417,543,"-",,"PLF_286_00061514","PGF_06847184",,180,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa strain AUS177","287.7965","RXEG01000002","fig|287.7965.peg.1956","IPC414_07750",,"PATRIC.287.7965.RXEG01000002.CDS.649989.650555.fwd","PATRIC","CDS",649989,650555,567,"+",,"PLF_286_00056245","PGF_06847184",,188,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa strain MCF879","287.7967","RXBL01000019","fig|287.7967.peg.2659","IPC1361_31575",,"PATRIC.287.7967.RXBL01000019.CDS.50558.51100.rev","PATRIC","CDS",50558,51100,543,"-",,"PLF_286_00061514","PGF_06847184",,180,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa strain T3044","287.7974","RXCD01000004","fig|287.7974.peg.4093","IPC1146_10270",,"PATRIC.287.7974.RXCD01000004.CDS.1928.2455.rev","PATRIC","CDS",1928,2455,528,"-",,"PLF_286_00291653","PGF_08225224",,175,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa strain Jp241","287.7986","RXDB01000010","fig|287.7986.peg.1152","IPC755_26175",,"PATRIC.287.7986.RXDB01000010.CDS.250433.250975.fwd","PATRIC","CDS",250433,250975,543,"+",,"PLF_286_00061514","PGF_06847184",,180,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa strain 6099","287.9149","RWNO01000012","fig|287.9149.peg.1325","IPC1348_23215",,"PATRIC.287.9149.RWNO01000012.CDS.194217.194759.fwd","PATRIC","CDS",194217,194759,543,"+",,"PLF_286_00061514","PGF_06847184",,180,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa strain 6001","287.9181","RWOH01000002","fig|287.9181.peg.2099","IPC1328_06075",,"PATRIC.287.9181.RWOH01000002.CDS.363887.364507.rev","PATRIC","CDS",363887,364507,621,"-",,,,,,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa strain PAC98D","287.9237","RWRJ01000005","fig|287.9237.peg.4205","IPC171_15525",,"PATRIC.287.9237.RWRJ01000005.CDS.133364.133984.rev","PATRIC","CDS",133364,133984,621,"-",,,,,,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa strain PAC80A","287.9239","RWRN01000001","fig|287.9239.peg.534","IPC167_02640",,"PATRIC.287.9239.RWRN01000001.CDS.513103.513723.rev","PATRIC","CDS",513103,513723,621,"-",,,,,,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa strain PAC70B","287.9240","RWRO01000001","fig|287.9240.peg.877","IPC166_04340",,"PATRIC.287.9240.RWRO01000001.CDS.873813.874433.rev","PATRIC","CDS",873813,874433,621,"-",,,,,,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa strain PAC31B","287.9241","RWRR01000001","fig|287.9241.peg.532","IPC163_02640",,"PATRIC.287.9241.RWRR01000001.CDS.513103.513723.rev","PATRIC","CDS",513103,513723,621,"-",,,,,,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa strain PAC70A","287.9242","RWRP01000001","fig|287.9242.peg.533","IPC165_02640",,"PATRIC.287.9242.RWRP01000001.CDS.513103.513723.rev","PATRIC","CDS",513103,513723,621,"-",,,,,,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa strain PAC14B","287.9258","RWSP01000016","fig|287.9258.peg.2120","IPC137_32765",,"PATRIC.287.9258.RWSP01000016.CDS.30131.30673.rev","PATRIC","CDS",30131,30673,543,"-",,"PLF_286_00061514","PGF_06847184",,180,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa strain PAC98B","287.9265","RWRL01000001","fig|287.9265.peg.532","IPC169_02640",,"PATRIC.287.9265.RWRL01000001.CDS.513103.513723.rev","PATRIC","CDS",513103,513723,621,"-",,,,,,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa strain PAC98C","287.9266","RWRK01000002","fig|287.9266.peg.2417","IPC170_07635",,"PATRIC.287.9266.RWRK01000002.CDS.513103.513723.rev","PATRIC","CDS",513103,513723,621,"-",,,,,,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa strain PAC42A","287.9267","RWRQ01000002","fig|287.9267.peg.2342","IPC164_07635",,"PATRIC.287.9267.RWRQ01000002.CDS.513103.513723.rev","PATRIC","CDS",513103,513723,621,"-",,,,,,,"SLATT domain-containing protein",
"Pseudomonas aeruginosa strain PAC31A","287.9344","RWRS01000002","fig|287.9344.peg.2393","IPC162_08955",,"PATRIC.287.9344.RWRS01000002.CDS.513103.513723.rev","PATRIC","CDS",513103,513723,621,"-",,,,,,,"SLATT domain-containing protein",
"Nocardioides sp. GBK3QG-3","2874580.10","JAIQZJ010000001","fig|2874580.10.peg.1091","K8U61_00615",,"PATRIC.2874580.10.JAIQZJ010000001.CDS.128626.129126.rev","PATRIC","CDS",128626,129126,501,"-",,,,,166,,"SLATT domain-containing protein",
"Nocardioides sp. GBK3QG-3","2874580.11","JAIQZJ010000001","fig|2874580.11.peg.1091","K8U61_00615",,"PATRIC.2874580.11.JAIQZJ010000001.CDS.128626.129126.rev","PATRIC","CDS",128626,129126,501,"-",,,,,166,,"SLATT domain-containing protein",
"Nocardioides sp. GBK3QG-3","2874580.3","JAIQZJ010000001","fig|2874580.3.peg.1091","K8U61_00615",,"PATRIC.2874580.3.JAIQZJ010000001.CDS.128626.129126.rev","PATRIC","CDS",128626,129126,501,"-",,,,,166,,"SLATT domain-containing protein",
"Nocardioides sp. GBK3QG-3","2874580.4","JAIQZJ010000001","fig|2874580.4.peg.1091","K8U61_00615",,"PATRIC.2874580.4.JAIQZJ010000001.CDS.128626.129126.rev","PATRIC","CDS",128626,129126,501,"-",,,,,166,,"SLATT domain-containing protein",
"Nocardioides sp. GBK3QG-3","2874580.5","JAIQZJ010000001","fig|2874580.5.peg.1091","K8U61_00615",,"PATRIC.2874580.5.JAIQZJ010000001.CDS.128626.129126.rev","PATRIC","CDS",128626,129126,501,"-",,,,,166,,"SLATT domain-containing protein",
"Nocardioides sp. GBK3QG-3","2874580.6","JAIQZJ010000001","fig|2874580.6.peg.1091","K8U61_00615",,"PATRIC.2874580.6.JAIQZJ010000001.CDS.128626.129126.rev","PATRIC","CDS",128626,129126,501,"-",,,,,166,,"SLATT domain-containing protein",
"Mesorhizobium sp. CO1-1-11","2876636.10","JAIUHE010000011","fig|2876636.10.peg.799","LB554_15100",,"PATRIC.2876636.10.JAIUHE010000011.CDS.174622.175122.fwd","PATRIC","CDS",174622,175122,501,"+",,,,,166,,"SLATT domain-containing protein",
"Mesorhizobium sp. CO1-1-11","2876636.3","JAIUHE010000011","fig|2876636.3.peg.799","LB554_15100",,"PATRIC.2876636.3.JAIUHE010000011.CDS.174622.175122.fwd","PATRIC","CDS",174622,175122,501,"+",,,,,166,,"SLATT domain-containing protein",
"Mesorhizobium sp. CO1-1-11","2876636.4","JAIUHE010000011","fig|2876636.4.peg.799","LB554_15100",,"PATRIC.2876636.4.JAIUHE010000011.CDS.174622.175122.fwd","PATRIC","CDS",174622,175122,501,"+",,,,,166,,"SLATT domain-containing protein",
"Mesorhizobium sp. CO1-1-11","2876636.5","JAIUHE010000011","fig|2876636.5.peg.799","LB554_15100",,"PATRIC.2876636.5.JAIUHE010000011.CDS.174622.175122.fwd","PATRIC","CDS",174622,175122,501,"+",,,,,166,,"SLATT domain-containing protein",
"Mesorhizobium sp. CO1-1-11","2876636.9","JAIUHE010000011","fig|2876636.9.peg.799","LB554_15100",,"PATRIC.2876636.9.JAIUHE010000011.CDS.174622.175122.fwd","PATRIC","CDS",174622,175122,501,"+",,,,,166,,"SLATT domain-containing protein",
"Mesorhizobium sp. CA8","2876637.10","JAIUHG010000006","fig|2876637.10.peg.5502","LB553_08860",,"PATRIC.2876637.10.JAIUHG010000006.CDS.68208.68768.fwd","PATRIC","CDS",68208,68768,561,"+",,,,,186,,"SLATT domain-containing protein",
"Mesorhizobium sp. CA8","2876637.3","JAIUHG010000006","fig|2876637.3.peg.5502","LB553_08860",,"PATRIC.2876637.3.JAIUHG010000006.CDS.68208.68768.fwd","PATRIC","CDS",68208,68768,561,"+",,,,,186,,"SLATT domain-containing protein",
"Mesorhizobium sp. CA8","2876637.4","JAIUHG010000006","fig|2876637.4.peg.5502","LB553_08860",,"PATRIC.2876637.4.JAIUHG010000006.CDS.68208.68768.fwd","PATRIC","CDS",68208,68768,561,"+",,,,,186,,"SLATT domain-containing protein",
"Mesorhizobium sp. CA8","2876637.5","JAIUHG010000006","fig|2876637.5.peg.5502","LB553_08860",,"PATRIC.2876637.5.JAIUHG010000006.CDS.68208.68768.fwd","PATRIC","CDS",68208,68768,561,"+",,,,,186,,"SLATT domain-containing protein",
"Mesorhizobium sp. CA8","2876637.9","JAIUHG010000006","fig|2876637.9.peg.5502","LB553_08860",,"PATRIC.2876637.9.JAIUHG010000006.CDS.68208.68768.fwd","PATRIC","CDS",68208,68768,561,"+",,,,,186,,"SLATT domain-containing protein",
"Mesorhizobium sp. CA15","2876641.10","JAIUHQ010000007","fig|2876641.10.peg.5311","LB515_14720",,"PATRIC.2876641.10.JAIUHQ010000007.CDS.171681.172285.fwd","PATRIC","CDS",171681,172285,605,"+",,,,,,,"SLATT domain-containing protein",
"Mesorhizobium sp. CA15","2876641.3","JAIUHQ010000007","fig|2876641.3.peg.5311","LB515_14720",,"PATRIC.2876641.3.JAIUHQ010000007.CDS.171681.172285.fwd","PATRIC","CDS",171681,172285,605,"+",,,,,,,"SLATT domain-containing protein",
"Mesorhizobium sp. CA15","2876641.4","JAIUHQ010000007","fig|2876641.4.peg.5311","LB515_14720",,"PATRIC.2876641.4.JAIUHQ010000007.CDS.171681.172285.fwd","PATRIC","CDS",171681,172285,605,"+",,,,,,,"SLATT domain-containing protein",
"Mesorhizobium sp. CA15","2876641.5","JAIUHQ010000007","fig|2876641.5.peg.5311","LB515_14720",,"PATRIC.2876641.5.JAIUHQ010000007.CDS.171681.172285.fwd","PATRIC","CDS",171681,172285,605,"+",,,,,,,"SLATT domain-containing protein",
"Mesorhizobium sp. CA15","2876641.9","JAIUHQ010000007","fig|2876641.9.peg.5311","LB515_14720",,"PATRIC.2876641.9.JAIUHQ010000007.CDS.171681.172285.fwd","PATRIC","CDS",171681,172285,605,"+",,,,,,,"SLATT domain-containing protein",
"Mesorhizobium sp. B294B1A1","2876663.10","JAIUIO010000001","fig|2876663.10.peg.11","LB576_00060",,"PATRIC.2876663.10.JAIUIO010000001.CDS.14034.14576.rev","PATRIC","CDS",14034,14576,543,"-",,"PLF_68287_00098507","PGF_02240429",,180,,"SLATT domain-containing protein",
"Mesorhizobium sp. B294B1A1","2876663.3","JAIUIO010000001","fig|2876663.3.peg.11","LB576_00060",,"PATRIC.2876663.3.JAIUIO010000001.CDS.14034.14576.rev","PATRIC","CDS",14034,14576,543,"-",,"PLF_68287_00098507","PGF_02240429",,180,,"SLATT domain-containing protein",
"Mesorhizobium sp. B294B1A1","2876663.4","JAIUIO010000001","fig|2876663.4.peg.11","LB576_00060",,"PATRIC.2876663.4.JAIUIO010000001.CDS.14034.14576.rev","PATRIC","CDS",14034,14576,543,"-",,"PLF_68287_00098507","PGF_02240429",,180,,"SLATT domain-containing protein",
"Mesorhizobium sp. B294B1A1","2876663.5","JAIUIO010000001","fig|2876663.5.peg.11","LB576_00060",,"PATRIC.2876663.5.JAIUIO010000001.CDS.14034.14576.rev","PATRIC","CDS",14034,14576,543,"-",,"PLF_68287_00098507","PGF_02240429",,180,,"SLATT domain-containing protein",
"Mesorhizobium sp. B294B1A1","2876663.9","JAIUIO010000001","fig|2876663.9.peg.11","LB576_00060",,"PATRIC.2876663.9.JAIUIO010000001.CDS.14034.14576.rev","PATRIC","CDS",14034,14576,543,"-",,"PLF_68287_00098507","PGF_02240429",,180,,"SLATT domain-containing protein",
"Mesorhizobium sp. B292B1B","2876664.10","JAIUIP010000001","fig|2876664.10.peg.741","LB561_03555",,"PATRIC.2876664.10.JAIUIP010000001.CDS.708985.709527.fwd","PATRIC","CDS",708985,709527,543,"+",,"PLF_68287_00098507","PGF_02240429",,180,,"SLATT domain-containing protein",
"Mesorhizobium sp. B292B1B","2876664.3","JAIUIP010000001","fig|2876664.3.peg.741","LB561_03555",,"PATRIC.2876664.3.JAIUIP010000001.CDS.708985.709527.fwd","PATRIC","CDS",708985,709527,543,"+",,"PLF_68287_00098507","PGF_02240429",,180,,"SLATT domain-containing protein",
"Mesorhizobium sp. B292B1B","2876664.4","JAIUIP010000001","fig|2876664.4.peg.741","LB561_03555",,"PATRIC.2876664.4.JAIUIP010000001.CDS.708985.709527.fwd","PATRIC","CDS",708985,709527,543,"+",,"PLF_68287_00098507","PGF_02240429",,180,,"SLATT domain-containing protein",
"Mesorhizobium sp. B292B1B","2876664.5","JAIUIP010000001","fig|2876664.5.peg.741","LB561_03555",,"PATRIC.2876664.5.JAIUIP010000001.CDS.708985.709527.fwd","PATRIC","CDS",708985,709527,543,"+",,"PLF_68287_00098507","PGF_02240429",,180,,"SLATT domain-containing protein",
"Mesorhizobium sp. B292B1B","2876664.9","JAIUIP010000001","fig|2876664.9.peg.741","LB561_03555",,"PATRIC.2876664.9.JAIUIP010000001.CDS.708985.709527.fwd","PATRIC","CDS",708985,709527,543,"+",,"PLF_68287_00098507","PGF_02240429",,180,,"SLATT domain-containing protein",
"Mesorhizobium sp. B264B2A","2876666.10","JAIUIR010000029","fig|2876666.10.peg.3277","LB560_29135",,"PATRIC.2876666.10.JAIUIR010000029.CDS.15411.15953.fwd","PATRIC","CDS",15411,15953,543,"+",,"PLF_68287_00098507","PGF_02240429",,180,,"SLATT domain-containing protein",
"Mesorhizobium sp. B264B2A","2876666.3","JAIUIR010000029","fig|2876666.3.peg.3277","LB560_29135",,"PATRIC.2876666.3.JAIUIR010000029.CDS.15411.15953.fwd","PATRIC","CDS",15411,15953,543,"+",,"PLF_68287_00098507","PGF_02240429",,180,,"SLATT domain-containing protein",
"Mesorhizobium sp. B264B2A","2876666.4","JAIUIR010000029","fig|2876666.4.peg.3277","LB560_29135",,"PATRIC.2876666.4.JAIUIR010000029.CDS.15411.15953.fwd","PATRIC","CDS",15411,15953,543,"+",,"PLF_68287_00098507","PGF_02240429",,180,,"SLATT domain-containing protein",
"Mesorhizobium sp. B264B2A","2876666.5","JAIUIR010000029","fig|2876666.5.peg.3277","LB560_29135",,"PATRIC.2876666.5.JAIUIR010000029.CDS.15411.15953.fwd","PATRIC","CDS",15411,15953,543,"+",,"PLF_68287_00098507","PGF_02240429",,180,,"SLATT domain-containing protein",
"Mesorhizobium sp. B264B2A","2876666.9","JAIUIR010000029","fig|2876666.9.peg.3277","LB560_29135",,"PATRIC.2876666.9.JAIUIR010000029.CDS.15411.15953.fwd","PATRIC","CDS",15411,15953,543,"+",,"PLF_68287_00098507","PGF_02240429",,180,,"SLATT domain-containing protein",
"Mesorhizobium sp. B264B1B","2876667.10","JAIUIS010000003","fig|2876667.10.peg.4380","LB547_08915",,"PATRIC.2876667.10.JAIUIS010000003.CDS.459506.460048.fwd","PATRIC","CDS",459506,460048,543,"+",,"PLF_68287_00098507","PGF_02240429",,180,,"SLATT domain-containing protein",
"Mesorhizobium sp. B264B1B","2876667.3","JAIUIS010000003","fig|2876667.3.peg.4380","LB547_08915",,"PATRIC.2876667.3.JAIUIS010000003.CDS.459506.460048.fwd","PATRIC","CDS",459506,460048,543,"+",,"PLF_68287_00098507","PGF_02240429",,180,,"SLATT domain-containing protein",
"Mesorhizobium sp. B264B1B","2876667.4","JAIUIS010000003","fig|2876667.4.peg.4380","LB547_08915",,"PATRIC.2876667.4.JAIUIS010000003.CDS.459506.460048.fwd","PATRIC","CDS",459506,460048,543,"+",,"PLF_68287_00098507","PGF_02240429",,180,,"SLATT domain-containing protein",
